emoji,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,
🔥,alternative,indie,punk,garage rock,alternative rock,indie rock,hard rock,modern rock,active rock,
❤️,pop,romantic,ballad,soul,r&b,rhythm and blues,contemporary r&b,singer-songwriter,acoustic,
💔,emotional,alternative,indie,indie rock,alternative rock,emo,post-hardcore,melancholic,,
🎉,dance,electronic,edm,house,pop,club,disco,funk,dance-pop,
😎,hip hop,rap,hip-hop,r&b,urban,trap,alternative hip hop,east coast hip hop,west coast hip hop,
🤘,heavy metal,rock,hard rock,metalcore,thrash metal,death metal,black metal,hardcore,punk,
🌙,ambient,electronic,downtempo,trip hop,dream pop,shoegaze,psychedelic,atmospheric,relaxing,
☀️,pop,indie,indie pop,alternative,feel-good,upbeat,catchy,tropical house,calypso,
🎸,rock,alternative,indie rock,alternative rock,blues rock,classic rock,garage rock,post-grunge,britpop,
🎹,classical,jazz,blues,singer-songwriter,adult alternative,neo-soul,ambient,instrumental,,
🎷,jazz fusion,smooth jazz,bebop,swing,latin jazz,free jazz,jazz-funk,contemporary jazz,acid jazz,
🎺,brass,funk,soul,latin,salsa,Afro-Cuban,mambo,cha-cha,merengue,
🥁,rock,punk,alternative,indie rock,hardcore,post-punk,new wave,garage rock,indie,
🎤,pop,soul,r&b,hip hop,rap,singer-songwriter,gospel,choir,a cappella,
💃,latin,salsa,reggaeton,bachata,merengue,cumbia,samba,bossa nova,flamenco,
🕺,disco,house,dance,electronic,club,soul,r&b,boogie,post-disco,
😢,emotional,alternative,indie,ballad,acoustic,singer-songwriter,folk,indie folk,sad songs,
😂,comedy,alternative,indie,punk,ska,reggae,pop punk,alternative rock,novelty,
😡,metal,hardcore,punk,industrial,nu metal,hard rock,alternative metal,grindcore,rage,
😌,chill,ambient,electronic,downtempo,lo-fi,chillhop,nu jazz,instrumental,mellow,
🤪,punk,ska,alternative,indie,pop punk,alternative rock,garage rock,psychobilly,ska punk,
😴,ambient,electronic,downtempo,drone,new age,meditation,relaxing,calm,peaceful,
🎵,pop,rock,alternative,indie,classic,timeless,melodic,catchy,sing-along,
🎶,pop,indie,alternative,indie pop,dream pop,shoegaze,electronic,synth-pop,new wave,
🌈,pop,indie,indie pop,electronic,feel-good,upbeat,alternative,dream pop,synth-pop,
⚡,electronic,edm,dubstep,drum and bass,techno,trance,hardcore,breakbeat,electro,
🌊,ambient,electronic,post-rock,shoegaze,dream pop,atmospheric,instrumental,drone,experimental,
🔮,psychedelic rock,psychedelic,electronic,trance,progressive,experimental,krautrock,neo-psychedelic,space rock,
👻,gothic,industrial,darkwave,post-punk,ethereal,ambient,experimental,noise,horror punk,
👽,electronic,ambient,scifi,industrial,noise,drone,experimental rock,avant-garde,soundtrack,
🚀,electronic,synthwave,cyberpunk,techno,industrial,experimental,ambient,sci-fi,space,
⭐,dream pop,shoegaze,ambient,electronic,ethereal,atmospheric,indie,alternative,reverb,
🌟,pop,indie pop,electronic,synth-pop,new wave,dance-pop,upbeat,catchy,mainstream,
💫,psychedelic,electronic,trance,ambient,experimental,dream pop,shoegaze,psytrance,hypnotic,
✨,pop,electronic,synth-pop,dance-pop,indie pop,bubblegum pop,glitter,disco,funk,
💥,metal,hardcore,punk,nu metal,breakcore,drum and bass,jungle,hardcore techno,aggressive,
💯,pop,hip hop,r&b,mainstream,chart,top 40,radio hit,dance-pop,contemporary,
💪,metal,hard rock,rock,hardcore,workout,gym,motivational,power metal,heavy,
👍,pop,indie,feel-good,upbeat,alternative,indie pop,soul,funk, Motown,
👎,alternative,grunge,post-punk,dark,industrial,noise,experimental,aggressive,angry,
👀,electronic,ambient,downtempo,trip hop,paranoid,dark,atmospheric,minimal,tense,
👂,experimental,ambient,electronic,drone,abstract,soundscape,field recording,noise,avant-garde,
👃,experimental,ambient,psychedelic,drone,abstract,sensory,atmospheric,industrial,noise,
👅,funk,soul,jazz,latin,fusion,experimental,groove,bass,r&b,disco
👄,love,romantic,pop,r&b,soul,ballad,singer-songwriter,acoustic,contemporary r&b,neo-soul
😘,love,romantic,pop,ballad,soul,r&b,singer-songwriter,acoustic,contemporary,soft
😍,love,pop,romantic,indie pop,soul,r&b,feel-good,upbeat,happy,sweet
🥰,love,romantic,indie,acoustic,singer-songwriter,folk,neo-soul,soft,warm,
😘,love,pop,ballad,r&b,soul,acoustic,singer-songwriter,contemporary,soft,intimate
😏,hip hop,rap,r&b,funk,soul,urban,trap,alternative hip hop,smooth,cool
😒,alternative,indie,grunge,post-punk,punk,industrial,noise,aggressive,disgusted,
